Species ,Pounds ,Value ,County
"Rockfish, group bolina ",126,937.00,San Luis Obispo
"Rockfish, bocaccio ","1,117",914.00,San Luis Obispo
"Rockfish, starry ",125,909.00,San Luis Obispo
"Rockfish, China ",102,874.00,San Luis Obispo
"Rockfish, group gopher ",87,870.00,San Luis Obispo
"Crab, yellow rock ",530,795.00,San Luis Obispo
"Rockfish, yellowtail ",215,388.00,San Luis Obispo
"Shark, sevengill ",149,372.00,San Luis Obispo
"Rockfish, speckled ",157,314.00,San Luis Obispo
"Whitefish, ocean ",147,304.00,San Luis Obispo
"Sole, petrale ",159,295.00,San Luis Obispo
"Shark, Pacific angel ",161,267.00,San Luis Obispo
"Rockfish, black ",128,214.00,San Luis Obispo
"Rockfish, kelp ",63,205.00,San Luis Obispo
"Shark, soupfin ",72,179.00,San Luis Obispo
Turbot ,109,156.00,San Luis Obispo
"Bonito, Pacific ",140,150.00,San Luis Obispo
"Rockfish, chilipepper ",93,110.00,San Luis Obispo
"Sole, sand ",55,100.00,San Luis Obispo
"Crustacean, unspecified ",32,72.00,San Luis Obispo
"Rockfish, rosy ",23,68.00,San Luis Obispo
"Prickleback, monkeyface (eel) ",18,54.00,San Luis Obispo
"Surfperch, unspecified ",12,42.00,San Luis Obispo
"Flounder, starry ",22,35.00,San Luis Obispo
"Sole, rock ",14,27.00,San Luis Obispo
"Rockfish, widow ",23,24.00,San Luis Obispo
"Flounder, arrowtooth ",14,24.00,San Luis Obispo
"Greenling, rock ",3,18.00,San Luis Obispo
"Rockfish, greenspotted ",6,17.00,San Luis Obispo
"Rockfish, group red ",8,10.00,San Luis Obispo
"Mackerel, Pacific ",1,5.00,San Luis Obispo
"Surfperch, calico ",1,5.00,San Luis Obispo
"Rockfish, greenblotched ",2,4.00,San Luis Obispo
"Flounder, unspecified ",1,3.00,San Luis Obispo
"Skate, California ",28,0.00,San Luis Obispo
"Lizardfish, California ",8,0.00,San Luis Obispo
All Other Ports ,,,San Luis Obispo
"Crab, yellow rock ","1,536",3072.00,San Luis Obispo
All Other Ports Totals: ,"1,676",3366.00,San Luis Obispo
Grand totals: ,"1,695,118",6090524.00,San Luis Obispo
