Species ,Pounds ,Value ,County
"Crab, Dungeness ","5,623,572",19199222.00,Del Norte County
"Shrimp, ocean (pink) ","1,958,660",1312664.00,Del Norte County
"Shrimp, coonstriped ","99,319",598035.00,Del Norte County
"Salmon, Chinook ","38,736",226545.00,Del Norte County
Sablefish ,"105,847",208419.00,Del Norte County
"Rockfish, black ","97,222",193235.00,Del Norte County
"Squid, market ","279,427",139714.00,Del Norte County
"Tuna, albacore ","187,957",115247.00,Del Norte County
Lingcod ,"19,207",48530.00,Del Norte County
Cabezon ,"4,058",17639.00,Del Norte County
"Rockfish, quillback ","3,333",14802.00,Del Norte County
"Rockfish, copper ","2,866",12149.00,Del Norte County
"Rockfish, blue ","6,579",9154.00,Del Norte County
"Crab, rock unspecified ","2,084",8857.00,Del Norte County
"Rockfish, vermilion ","2,683",6629.00,Del Norte County
"Rockfish, grass ",598,3926.00,Del Norte County
"Rockfish, canary ","2,195",3399.00,Del Norte County
"Rockfish, China ",374,2425.00,Del Norte County
"Greenling, kelp ",505,2390.00,Del Norte County
"Halibut, Pacific ",383,2060.00,Del Norte County
"Smelt, night ","2,228",1337.00,Del Norte County
"Rockfish, yellowtail ",837,1151.00,Del Norte County
"Rockfish, redbanded ",678,935.00,Del Norte County
"Skate, longnose ","2,134",534.00,Del Norte County
"Rockfish, brown ",126,512.00,Del Norte County
"Surfperch, redtail ",294,419.00,Del Norte County
"Rockfish, unspecified ",60,367.00,Del Norte County
"Rockfish, widow ",280,359.00,Del Norte County
"Rockfish, blackgill ",269,314.00,Del Norte County
"Rockfish, group slope ",103,206.00,Del Norte County
"Rockfish, olive ",44,92.00,Del Norte County
"Rockfish, group shelf ",13,91.00,Del Norte County
"Rockfish, group bolina ",27,82.00,Del Norte County
"Rockfish, darkblotched ",37,56.00,Del Norte County
"Greenling, rock ",7,30.00,Del Norte County
"Rockfish, bocaccio ",10,18.00,Del Norte County
"Rockfish, rosethorn ",3,7.00,Del Norte County
"Rockfish, black-and-yellow ",5,3.00,Del Norte County
"Rockfish, rosy ",2,3.00,Del Norte County
"Rockfish, gopher ",2,1.00,Del Norte County
"Fish, unspecified ",10,0.00,Del Norte County
"Mackerel, Pacific ",25,0.00,Del Norte County
"Octopus, unspecified ",70,0.00,Del Norte County
"Thornyhead, shortspine ",2,0.00,Del Norte County
"Sole, Dover ",10,0.00,Del Norte County
"Sole, rock ",10,0.00,Del Norte County
"Crab, Dungeness ","2,070,472",6574733.00,Humboldt County
"Sole, Dover ","2,702,742",1257374.00,Humboldt County
Sablefish ,"668,903",1052309.00,Humboldt County
"Sole, petrale ","739,965",945431.00,Humboldt County
"Tuna, albacore ","171,477",325151.00,Humboldt County
Lingcod ,"313,638",321294.00,Humboldt County
"Shrimp, ocean (pink) ","473,205",307330.00,Humboldt County
"Smelt, night ","315,499",189257.00,Humboldt County
"Rockfish, canary ","342,951",172770.00,Humboldt County
"Thornyhead, shortspine ","214,928",167049.00,Humboldt County
"Rockfish, chilipepper ","313,867",132387.00,Humboldt County
"Hagfish, Pacific ","203,988",127479.00,Humboldt County
"Thornyhead, longspine ","259,987",122496.00,Humboldt County
"Rockfish, widow ","322,329",113139.00,Humboldt County
"Rockfish, group shelf ","159,992",71966.00,Humboldt County
"Salmon, Chinook ","11,725",65965.00,Humboldt County
"Halibut, Pacific ","9,556",63596.00,Humboldt County
"Skate, longnose ","229,701",55020.00,Humboldt County
"Sole, rex ","109,285",43309.00,Humboldt County
"Rockfish, bocaccio ","61,310",29470.00,Humboldt County
"Halibut, California ","3,252",20598.00,Humboldt County
"Sole, English ","75,901",18686.00,Humboldt County
"Squid, market ","37,054",18527.00,Humboldt County
"Rockfish, darkblotched ","31,787",15167.00,Humboldt County
"Skate, big ","57,948",15131.00,Humboldt County
"Rockfish, black ","7,626",14567.00,Humboldt County
"Sanddab, Pacific ","23,447",14061.00,Humboldt County
"Rockfish, yellowtail ","20,662",13166.00,Humboldt County
"Rockfish, group slope ","35,973",12114.00,Humboldt County
"Anchovy, northern ","13,569",8925.00,Humboldt County
"Rockfish, blue ","3,922",7249.00,Humboldt County
"Surfperch, redtail ","4,305",4305.00,Humboldt County
"Rockfish, copper ","1,667",3236.00,Humboldt County
"Rockfish, quillback ","1,399",3087.00,Humboldt County
"Rockfish, redbanded ","2,016",2770.00,Humboldt County
"Flounder, arrowtooth ","26,059",2694.00,Humboldt County
"Rockfish, vermilion ","1,337",2590.00,Humboldt County
"Crab, red rock ",638,1914.00,Humboldt County
Butterfish (Pacific pompano) ,542,1762.00,Humboldt County
"Rockfish, grass ",213,1739.00,Humboldt County
"Rockfish, blackgill ","1,059",1199.00,Humboldt County
"Rockfish, rougheye ",953,901.00,Humboldt County
"Rockfish, group deepwater reds ",209,413.00,Humboldt County
"Smelt, surf ",645,387.00,Humboldt County
"Crab, brown rock ",100,300.00,Humboldt County
"Rockfish, gopher ",27,196.00,Humboldt County
Cabezon ,51,164.00,Humboldt County
"Rockfish, brown ",54,138.00,Humboldt County
"Tuna, bluefin ",28,126.00,Humboldt County
"Crab, yellow rock ",32,96.00,Humboldt County
"Skate, unspecified ",89,89.00,Humboldt County
Grenadier ,"1,294",62.00,Humboldt County
"Rockfish, China ",8,62.00,Humboldt County
"Rockfish, cowcod ",79,40.00,Humboldt County
"Rockfish, Pacific ocean perch ",82,34.00,Humboldt County
Dolphin (fish) ,8,30.00,Humboldt County
"Flounder, starry ",71,25.00,Humboldt County
"Rockfish, yelloweye ",37,18.00,Humboldt County
"Rockfish, shortraker ",33,15.00,Humboldt County
"Greenling, kelp ",2,13.00,Humboldt County
"Sole, curlfin ",36,11.00,Humboldt County
"Rockfish, group rosefish ",6,10.00,Humboldt County
"Rockfish, unspecified ",8,8.00,Humboldt County
"Rockfish, splitnose ",19,5.00,Humboldt County
"Rockfish, rosy ",2,4.00,Humboldt County
"Cod, Pacific ",4,2.00,Humboldt County
"Shad, American ",88,0.00,Humboldt County
"Whiting, Pacific ",202,0.00,Humboldt County
"Sole, unspecified ",29,0.00,Humboldt County
"Mackerel, jack ",27,0.00,Humboldt County
"Shark, spiny dogfish ",290,0.00,Humboldt County
"Rockfish, group nearshore ",4,0.00,Humboldt County
"Rockfish, greenstriped ",2,0.00,Humboldt County
"Shark, unspecified ",441,0.00,Humboldt County
"Crab, Dungeness ","576,946",1895746.00,Humboldt County
Lingcod ,"1,799",5715.00,Humboldt County
"Salmon, Chinook ",773,888.00,Humboldt County
"Rockfish, black ",145,218.00,Humboldt County
"Rockfish, canary ",44,89.00,Humboldt County
"Rockfish, bocaccio ",22,44.00,Humboldt County
"Rockfish, vermilion ",5,10.00,Humboldt County
Trinidad Port Totals: ,"579,734",1902710.00,Humboldt County
"Crab, Dungeness ","71,099",236858.00,Humboldt County
"Salmon, Chinook ","4,760",28862.00,Humboldt County
Lingcod ,"6,608",20381.00,Humboldt County
"Rockfish, vermilion ","2,699",10158.00,Humboldt County
"Rockfish, canary ","3,088",8898.00,Humboldt County
"Rockfish, yellowtail ","3,491",8764.00,Humboldt County
"Rockfish, blue ","3,126",6745.00,Humboldt County
"Sole, petrale ","1,263",4395.00,Humboldt County
"Rockfish, black ","1,677",3835.00,Humboldt County
"Rockfish, copper ",718,2835.00,Humboldt County
"Rockfish, quillback ",631,2504.00,Humboldt County
"Tuna, albacore ",806,2279.00,Humboldt County
"Halibut, California ",238,1666.00,Humboldt County
Jacksmelt ,746,1492.00,Humboldt County
"Surfperch, calico ",529,1323.00,Humboldt County
"Rockfish, olive ",423,1123.00,Humboldt County
"Rockfish, bocaccio ",428,1088.00,Humboldt County
"Seaperch, striped ",409,1023.00,Humboldt County
"Rockfish, rosy ",316,994.00,Humboldt County
"Surfperch, redtail ",380,950.00,Humboldt County
"Surfperch, walleye ",119,297.00,Humboldt County
Sablefish ,78,234.00,Humboldt County
"Rockfish, widow ",46,113.00,Humboldt County
"Rockfish, brown ",20,80.00,Humboldt County
"Rockfish, chilipepper ",30,75.00,Humboldt County
"Rockfish, starry ",15,53.00,Humboldt County
"Sole, rock ",14,49.00,Humboldt County
"Rockfish, group canary/vermili ",9,27.00,Humboldt County
"Rockfish, group bolina ",6,24.00,Humboldt County
"Mackerel, Pacific ",10,20.00,Humboldt County
Sanddab ,10,19.00,Humboldt County
"Rockfish, flag ",2,8.00,Humboldt County
"Sanddab, Pacific ",4,8.00,Humboldt County
"Mackerel, unspecified ",3,6.00,Humboldt County
"Sole, sand ",3,6.00,Humboldt County
"Flounder, unspecified ",2,5.00,Humboldt County
"Flounder, starry ",2,4.00,Humboldt County
Shelter Cove Port Totals: ,"103,807",347198.00,Humboldt County
"Squid, market ","198,051",99026.00,Humboldt County
"Halibut, California ","1,983",13806.00,Humboldt County
"Salmon, Chinook ","1,589",6396.00,Humboldt County
"Tuna, albacore ","2,030",3078.00,Humboldt County
"Halibut, Pacific ",359,2844.00,Humboldt County
"Crab, Dungeness ",945,1365.00,Humboldt County
Sablefish ,604,853.00,Humboldt County
Lingcod ,319,475.00,Humboldt County
"Sole, petrale ",29,37.00,Humboldt County
Yellowtail ,27,27.00,Humboldt County
Grenadier ,76,19.00,Humboldt County
"Rockfish, chilipepper ",6,13.00,Humboldt County
"Rockfish, canary ",18,8.00,Humboldt County
"Rockfish, vermilion ",7,4.00,Humboldt County
"Rockfish, yellowtail ",5,0.00,Humboldt County
"Rockfish, bocaccio ",12,0.00,Humboldt County
