Species Pounds Value,Pounds,Value,County
"Crayfish, signal","48,733",132795.00,Sacramento
"Crayfish, unspecified","16,564",43038.00,Sacramento
"Shad, threadfin","14,178",29444.00,Sacramento
"Crayfish, red swamp ",428,1139.00,Sacramento
"Crustacean, unspecified ",557,1114.00,Sacramento
