Species ,Pounds ,Value ,County
"Rockfish, rosy ",176,457.00,Orange County
"Sanddab, Pacific ",159,413.00,Orange County
"Rockfish, flag ",142,394.00,Orange County
"Halibut, California ",93,380.00,Orange County
"Rockfish, yellowtail ",84,252.00,Orange County
"Rockfish, chilipepper ",108,245.00,Orange County
"Scorpionfish, California ",63,231.00,Orange County
"Shark, shortfin mako ",92,184.00,Orange County
"Crab, red rock ",108,184.00,Orange County
"Octopus, unspecified ",80,130.00,Orange County
"Shark, bigeye thresher ",124,124.00,Orange County
"Crab, brown rock ",69,117.00,Orange County
"Rockfish, grass ",8,80.00,Orange County
Escolar ,70,80.00,Orange County
"Rockfish, squarespot ",32,79.00,Orange County
"Crab, rock unspecified ",78,78.00,Orange County
"Whiting, Pacific ",26,72.00,Orange County
"Rockfish, Mexican ",6,12.00,Orange County
"Sole, petrale ",2,4.00,Orange County
Grenadier ,1,1.00,Orange County
"Sardine, Pacific ","120,005",0.00,Orange County
"Croaker, white ",100,0.00,Orange County
"Anchovy, northern ","3,600",0.00,Orange County
"Lobster, California spiny ","25,020",355443.00,Los Angeles
"Crab, yellow rock ","76,355",142546.00,Los Angeles
"Prawn, spot ","6,506",100848.00,Los Angeles
"Mackerel, Pacific ","136,781",54194.00,Los Angeles
"Rockfish, vermilion ","5,325",13552.00,Los Angeles
"Crab, spider ","2,495",4104.00,Los Angeles
"Crab, red rock ","2,115",3852.00,Los Angeles
"Rockfish, bocaccio ","1,232",2111.00,Los Angeles
"Whelk, Kellet's ","2,553",2059.00,Los Angeles
"Crab, rock unspecified ",977,1954.00,Los Angeles
"Rockfish, unspecified ","1,063",1826.00,Los Angeles
Lingcod ,618,1230.00,Los Angeles
"Rockfish, Mexican ",558,860.00,Los Angeles
"Rockfish, starry ",305,583.00,Los Angeles
Mussel ,"1,450",580.00,Los Angeles
"Shark, shortfin mako ",218,469.00,Los Angeles
"Crab, brown rock ",231,404.00,Los Angeles
"Tuna, bluefin ",95,380.00,Los Angeles
"Shark, thresher ",180,360.00,Los Angeles
"Rockfish, greenblotched ",101,302.00,Los Angeles
"Sea urchin, red ",71,284.00,Los Angeles
"Rockfish, widow ",108,162.00,Los Angeles
"Whitefish, ocean ",37,52.00,Los Angeles
Sanddab ,22,22.00,Los Angeles
"Mackerel, jack ",5,10.00,Los Angeles
"Lobster, California spiny ","27,644",390993.00,Los Angeles
"Sardine, Pacific ","183,044",39289.00,Los Angeles
"Halibut, California ","1,072",4188.00,Los Angeles
"Sea urchin, red ","1,033",4125.00,Los Angeles
"Mackerel, Pacific ","11,236",2119.00,Los Angeles
"Rockfish, vermilion ",164,382.00,Los Angeles
"Anchovy, northern ","6,060",225.00,Los Angeles
"Shark, leopard ",124,124.00,Los Angeles
"Ray, bat ",263,105.00,Los Angeles
"Skate, unspecified ",102,41.00,Los Angeles
"Shark, thresher ",33,33.00,Los Angeles
"Skate, California ",72,29.00,Los Angeles
"Shark, soupfin ",39,23.00,Los Angeles
"Rockfish, greenblotched ",23,23.00,Los Angeles
"Whelk, Kellet's ",26,21.00,Los Angeles
"Shark, shortfin mako ",12,12.00,Los Angeles
"Rockfish, greenspotted ",12,12.00,Los Angeles
"Sole, petrale ",15,7.00,Los Angeles
"Rockfish, greenstriped ",5,5.00,Los Angeles
"Rockfish, Mexican ",5,5.00,Los Angeles
"Crab, yellow rock ",275,2.00,Los Angeles
"Rockfish, speckled ",2,2.00,Los Angeles
"Crab, spider ",15,0.00,Los Angeles
"Crab, brown rock ",6,0.00,Los Angeles
"Crab, red rock ",39,0.00,Los Angeles
"Lobster, California spiny ","19,621",281284.00,Los Angeles
"Prawn, ridgeback ","8,242",19501.00,Los Angeles
"Sea urchin, red ","7,288",18075.00,Los Angeles
Sablefish ,"2,977",5954.00,Los Angeles
"Thornyhead, shortspine ","1,325",5302.00,Los Angeles
"Crab, red rock ",993,2222.00,Los Angeles
"Sheephead, California ",295,1623.00,Los Angeles
"Rockfish, blackgill ",625,1249.00,Los Angeles
"Thornyhead, longspine ",397,795.00,Los Angeles
"Whelk, Kellet's ",619,495.00,Los Angeles
Sanddab ,31,107.00,Los Angeles
"Crab, spider ",73,95.00,Los Angeles
"Sanddab, Pacific ",25,88.00,Los Angeles
"Crab, yellow rock ",24,43.00,Los Angeles
"Octopus, unspecified ",6,33.00,Los Angeles
"Sole, Dover ",11,22.00,Los Angeles
"Rockfish, vermilion ",8,15.00,Los Angeles
"Rockfish, aurora ",5,10.00,Los Angeles
"Croaker, white ",15,0.00,Los Angeles
"Squid, market ","15,068",0.00,Los Angeles
"Sardine, Pacific ","49,023",0.00,Los Angeles
"Halibut, California ",12,0.00,Los Angeles
"Snails, moon ",5,0.00,Los Angeles
"Ray, bat ",20,0.00,Los Angeles
"Sole, English ",25,0.00,Los Angeles
"Shark, Pacific angel ",25,0.00,Los Angeles
"Lobster, California spiny ","14,026",201143.00,Los Angeles
Swordfish ,"8,642",77992.00,Los Angeles
"Tuna, bluefin ","2,432",10321.00,Los Angeles
"Seabass, white ",979,5802.00,Los Angeles
"Tuna, albacore ","1,490",4098.00,Los Angeles
Yellowtail ,"1,376",4061.00,Los Angeles
Sanddab ,610,2286.00,Los Angeles
"Sanddab, Pacific ",269,1013.00,Los Angeles
"Bass, giant sea ",114,570.00,Los Angeles
"Prawn, spot ",464,464.00,Los Angeles
"Shark, shortfin mako ",137,274.00,Los Angeles
"Shark, thresher ",89,178.00,Los Angeles
"Tuna, yellowfin ",148,125.00,Los Angeles
"Sea urchin, red ",20,90.00,Los Angeles
"Octopus, unspecified ",62,62.00,Los Angeles
"Crab, yellow rock ",33,36.00,Los Angeles
"Halibut, California ",16,16.00,Los Angeles
"Crab, red rock ",10,13.00,Los Angeles
"Whelk, Kellet's ",20,10.00,Los Angeles
"Crab, king ",8,8.00,Los Angeles
"Crab, box ",8,0.00,Los Angeles
Dolphin (fish) ,22,0.00,Los Angeles
"Prawn, Spot ","4,451",100288.00,Orange County
"Sanddab, Pacific ","5,088",25457.00,Orange County
"Sheephead, California ","4,538",20849.00,Orange County
Sanddab ,"3,506",17353.00,Orange County
"Scorpionfish, California ","2,819",16831.00,Orange County
Sablefish ,"4,864",14593.00,Orange County
"Crab, yellow rock ","2,986",8958.00,Orange County
"Whitefish, ocean ","1,661",6308.00,Orange County
"Crab, red rock ","1,852",5556.00,Orange County
"Rockfish, greenblotched ",673,3408.00,Orange County
"Thornyhead, shortspine ",153,1449.00,Orange County
"Rockfish, blackgill ",674,1348.00,Orange County
"Rockfish, group shelf ",298,894.00,Orange County
Yellowtail ,213,746.00,Orange County
"Rockfish, greenstriped ",144,720.00,Orange County
"Rockfish, vermilion ",117,702.00,Orange County
"Tuna, bluefin ",145,616.00,Orange County
"Crab, spider ",204,612.00,Orange County
"Rockfish, greenspotted ",96,576.00,Orange County
"Shark, thresher ",420,492.00,Orange County
Lingcod ,45,243.00,Orange County
"Shark, pelagic thresher ",200,200.00,Orange County
"Sunfish, ocean ",11,55.00,Orange County
"Lobster, California spiny ","1,673",25730.00,Los Angeles
"Crab, rock unspecified ","1,300",1550.00,Los Angeles
"Crab, spider ",320,320.00,Los Angeles
"Sheephead, California ",95,285.00,Los Angeles
"Whelk, Kellet's ",78,62.00,Los Angeles
"Crab, yellow rock ",4,7.00,Los Angeles
"Halibut, California ",844,7637.00,Los Angeles
"Tuna, bluefin ",266,1463.00,Los Angeles
Sea hare ,84,843.00,Los Angeles
"Sea urchin, purple ",75,750.00,Los Angeles
"Tuna, yellowfin ",128,704.00,Los Angeles
"Sea urchin, red ",121,484.00,Los Angeles
Bat star ,36,364.00,Los Angeles
Sea stars ,35,139.00,Los Angeles
"Sea urchin, white ",1,100.00,Los Angeles
"Sole, unspecified ",16,87.00,Los Angeles
Mussel ,4,75.00,Los Angeles
"Snail, sea ",0,63.00,Los Angeles
"Kelp, giant ",9,43.00,Los Angeles
"Octopus, unspecified ",1,25.00,Los Angeles
Yellowtail ,8,23.00,Los Angeles
"Mackerel, Pacific ",300,0.00,Los Angeles
"Sardine, Pacific ","2,100",0.00,Los Angeles
"Prawn, spot ",540,8372.00,Los Angeles
"Halibut, California ",123,980.00,Los Angeles
"Sea urchin, red ",108,297.00,Los Angeles
"Whitefish, ocean ",48,168.00,Los Angeles
Yellowtail ,12,58.00,Los Angeles
"Seabass, white ",79,316.00,Los Angeles
"Halibut, California ",25,156.00,Los Angeles
Yellowtail ,15,57.00,Los Angeles
