Species Pounds Value,Pounds,Value,County
"Greenling, rock",64,127.00,Mendocino
"Rockfish, blue",63,126.00,Mendocino
"Rockfish, black",62,124.00,Mendocino
"Rockfish, grass",54,107.00,Mendocino
"Sea urchin, red",84,105.00,Mendocino
"Rockfish, starry",35,69.00,Mendocino
"Rockfish, yellowtail",23,46.00,Mendocino
"Rockfish, group gopher",17,34.00,Mendocino
"Rockfish, group black/blue",15,30.00,Mendocino
"Greenling, kelp",5,18.00,Mendocino
"Rockfish, group canary/vermili",9,17.00,Mendocino
"Sole, unspecified",3,6.00,Mendocino
"Flounder, unspecified",3,6.00,Mendocino
Sanddab,1,3.00,Mendocino
"Rockfish, rosy",1,1.00,Mendocino
"Flounder, starry",1,1.00,Mendocino
Lingcod,220,660.00,Mendocino
"Rockfish, vermilion",3,7.00,Mendocino
