Species ,Pounds ,Value ,County
"Shark, shortfin mako ",972,814.00,San Diego
"Mackerel, unspecified ",363,668.00,San Diego
Lingcod ,149,558.00,San Diego
"Rockfish, bocaccio ",361,523.00,San Diego
"Rockfish, brown ",133,404.00,San Diego
"Mackerel, jack ",250,380.00,San Diego
"Octopus, unspecified ",573,374.00,San Diego
"Crab, box ",154,320.00,San Diego
"Surfperch, black ",211,304.00,San Diego
"Shark, soupfin ",272,263.00,San Diego
"Fish, unspecified ",124,248.00,San Diego
"Crab, armed box ",272,226.00,San Diego
"Scorpionfish, California ",78,215.00,San Diego
"Barracuda, California ",131,203.00,San Diego
"Rockfish, splitnose ",53,190.00,San Diego
"Rockfish, honeycomb ",175,181.00,San Diego
"Rockfish, starry ",112,112.00,San Diego
"Sunfish, ocean ",95,95.00,San Diego
"Sea urchin, purple ",43,86.00,San Diego
"Sole, unspecified ",28,85.00,San Diego
"Crab, rock unspecified ",85,85.00,San Diego
"Rockfish, gopher ",56,79.00,San Diego
"Rockfish, blue ",23,76.00,San Diego
"Rockfish, speckled ",19,75.00,San Diego
Grouper ,10,75.00,San Diego
"Rockfish, squarespot ",67,73.00,San Diego
"Rockfish, flag ",52,70.00,San Diego
Triggerfish ,57,57.00,San Diego
"Snail, top ",54,54.00,San Diego
"Sole, fantail ",15,45.00,San Diego
"Shark, Pacific angel ",58,41.00,San Diego
"Rockfish, group deep nearshore ",9,32.00,San Diego
"Rockfish, kelp ",26,32.00,San Diego
"Shark, leopard ",21,21.00,San Diego
"Rockfish, grass ",11,17.00,San Diego
"Rockfish, olive ",8,16.00,San Diego
"Crab, king ",47,14.00,San Diego
Sablefish ,3,10.00,San Diego
"Rockfish, treefish ",2,8.00,San Diego
Jacksmelt ,2,8.00,San Diego
"Rockfish, yellowtail ",2,7.00,San Diego
"Rockfish, group gopher ",4,7.00,San Diego
"Eel, California moray ",5,5.00,San Diego
"Rockfish, greenspotted ",4,4.00,San Diego
"Sanddab, Pacific ",3,3.00,San Diego
"Rockfish, chilipepper ",1,3.00,San Diego
"Rockfish, rosy ",3,3.00,San Diego
Blacksmith ,2,2.00,San Diego
"Sole, rock ",1,2.00,San Diego
Halfmoon ,2,2.00,San Diego
Sargo ,1,1.00,San Diego
Opaleye ,1,1.00,San Diego
"Anchovy, northern ","17,350",0.00,San Diego
"Crustacean, unspecified ",4,0.00,San Diego
"Sardine, Pacific ","376,725",0.00,San Diego
"Lobster, California spiny ","28,640",386662.00,San Diego
Sablefish ,"117,015",332609.00,San Diego
"Prawn, spot ","13,345",200321.00,San Diego
"Thornyhead, shortspine ","18,153",127199.00,San Diego
"Tuna, bluefin ","12,726",70971.00,San Diego
"Halibut, California ","12,702",51324.00,San Diego
"Hagfish, Pacific ","35,404",38712.00,San Diego
"Crab, yellow rock ","14,599",24714.00,San Diego
"Sheephead, California ","3,717",19687.00,San Diego
